sample_id,time,line_id,line_name,station_id,nearest_boarding_station,destination_station,current_location,walk_distance_m,inflow_30m,outflow_30m,weather,temperature,headway,online_vehicle,total_vehicle,is_peak,scenic_name,scenic_type,scenic_intensity,advice_intent,crowding_adjusted,congestion_adjusted,seat_pressure,boarding_convenience,advice_level,recommended_action,user_question,assistant_answer
TA00011,2024-04-07 15:19:00,31f975ac1fa38166b5ca3eb552503516,206路,83da1c91a60b0425615225a81a7a2266,水务局,罗家花园,水务局商圈附近约394米,394,57,42,小雨,20.0,11.6,14,14,1,宏声桥商圈,商圈客流,0.605,换乘规划,0.846,0.807,0.743,0.508,普通,常态候车,我刚到水务局商圈附近约394米附近，准备回罗家花园，坐206路的话要等很久吗？,"您好！从水务局商圈附近约394米前往罗家花园，目前正值高峰时段，周边道路和客流压力较大。

目前206路的车厢拥挤度在 85% 左右，道路拥堵指数 81%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00012,2024-04-07 08:00:00,31f975ac1fa38166b5ca3eb552503516,206路,77e5c0b74c44c9c243d16961e8a5cbda,大修厂,森林公园,大修厂北侧路口约278米,278,10,2,小雨,18.9,42.5,10,14,0,江东滨江带,滨江休闲,0.63,雨天出行,0.377,0.99,0.685,0.653,强提醒,避让/错峰,我现在在大修厂北侧路口约278米，要去森林公园，走过去坐206路合适吗？,"您好！从大修厂北侧路口约278米前往森林公园，距离上车点大修厂约278米，走过去很近。

目前206路的车厢拥挤度在 38% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 42.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00013,2024-04-07 11:10:00,31f975ac1fa38166b5ca3eb552503516,206路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,人民医院,桥南第一村北侧路口约744米,744,338,254,雷阵雨,6.8,23.4,13,14,1,宏声桥商圈,商圈客流,0.494,晚高峰回家,0.99,0.99,0.948,0.1,强提醒,避让/错峰,结合现在的天气和附近客流，从桥南第一村北侧路口约744米去人民医院怎么走最稳妥？,"您好！从桥南第一村北侧路口约744米前往人民医院，目前正值高峰时段，周边道路和客流压力较大。

目前206路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 23.4 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00014,2024-04-07 15:04:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,1728188a4355d1263bb2fb3b086c3429,三中院,公安局,三中院商圈附近约66米,66,117,47,暴雨,15.0,18.7,16,17,0,白鹤梁,文化景区,0.515,通勤出行,0.99,0.99,0.917,0.917,强提醒,避让/错峰,我刚到三中院商圈附近约66米附近，准备回公安局，坐112路的话要等很久吗？,"您好！从三中院商圈附近约66米前往公安局，距离上车点三中院约66米，走过去很近。

目前112路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 18.7 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00015,2024-04-07 16:25:00,2784f60394214283364aa4321717a939,104路,4847a31e8e4b56724a442bed9b002c43,森林公园,江东花苑,森林公园对面天桥下约491米,491,15,8,小雨,12.0,37.6,11,14,0,高笋塘步行区,商圈客流,0.724,通勤出行,0.634,0.99,0.814,0.386,强提醒,避让/错峰,外面天气感觉一般，我从森林公园对面天桥下约491米出发去江东花苑，帮我看看路况和车上挤不挤。,"您好！从森林公园对面天桥下约491米前往江东花苑，当前外面是小雨，距离森林公园站还有491米步行路程，请务必备好雨具注意安全。

目前104路的车厢拥挤度在 63% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 37.6 分钟）。另外，受高笋塘步行区商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00016,2024-04-07 16:39:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,fab859ef347c3152b7c1b1c576d51220,人武部,三中院,人武部公交港湾约686米,686,307,172,大雪,13.1,26.5,7,8,1,人武部换乘口,换乘热点,0.39,换乘规划,0.937,0.916,0.92,0.142,强提醒,避让/错峰,请帮我判断下，现在从人武部公交港湾约686米去三中院，推荐按原计划等车还是换个方案？,"您好！从人武部公交港湾约686米前往三中院，目前正值高峰时段，周边道路和客流压力较大。

目前204路的车厢拥挤度在 94% 左右，道路拥堵指数 92%。受路况影响，预计当前发车间隔较长（约 26.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00017,2024-04-07 17:28:00,14cb7122f64146b02a21c2c791af904d,102路,396c1979928ef81d9d2ccfbd2864a0b3,大塘路口,万达停车场,大塘路口北侧路口约298米,298,19,3,阴,5.0,8.2,16,20,1,人武部换乘口,换乘热点,0.364,换乘规划,0.804,0.788,0.693,0.627,普通,常态候车,我现在在大塘路口北侧路口约298米，要去万达停车场，走过去坐102路合适吗？,"您好！从大塘路口北侧路口约298米前往万达停车场，目前正值高峰时段，周边道路和客流压力较大。

目前102路的车厢拥挤度在 80% 左右，道路拥堵指数 79%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00018,2024-04-07 14:18:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,544def4a48190c41c3d652d624d0946d,步阳路口,行政服务中心,步阳路口东侧约616米,616,48,26,多云,28.5,11.8,10,14,1,江东滨江带,滨江休闲,0.247,换乘规划,0.754,0.675,0.658,0.23,普通,常态候车,我刚到步阳路口东侧约616米附近，准备回行政服务中心，坐108路的话要等很久吗？,"您好！从步阳路口东侧约616米前往行政服务中心，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 75% 左右，道路拥堵指数 68%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00019,2024-04-07 07:32:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,fab859ef347c3152b7c1b1c576d51220,人武部,行政服务中心,人武部对面天桥下约367米,367,38,13,多云,32.3,8.0,16,22,1,图书馆文化区,文教热点,0.413,换乘规划,0.782,0.645,0.638,0.541,普通,常态候车,结合现在的天气和附近客流，从人武部对面天桥下约367米去行政服务中心怎么走最稳妥？,"您好！从人武部对面天桥下约367米前往行政服务中心，目前正值高峰时段，周边道路和客流压力较大。

目前105路的车厢拥挤度在 78% 左右，道路拥堵指数 64%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00020,2024-04-07 08:46:00,31f975ac1fa38166b5ca3eb552503516,206路,544def4a48190c41c3d652d624d0946d,步阳路口,洗墨路口,步阳路口公交港湾约361米,361,8,3,晴,28.9,38.8,9,14,0,江东滨江带,滨江休闲,0.435,换乘规划,0.494,0.99,0.744,0.549,强提醒,避让/错峰,外面天气感觉一般，我从步阳路口公交港湾约361米出发去洗墨路口，帮我看看路况和车上挤不挤。,"您好！从步阳路口公交港湾约361米前往洗墨路口，距离上车点步阳路口约361米，走过去很近。

目前206路的车厢拥挤度在 49% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 38.8 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00021,2024-04-07 11:18:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,d8b5de9516c4a746dddaeb57549bdd96,杨柳站,中心医院,杨柳站商圈附近约232米,232,195,48,阴,31.8,11.5,11,17,0,高笋塘步行区,商圈客流,0.203,晚高峰回家,0.846,0.538,0.661,0.71,普通,常态候车,外面天气感觉一般，我从杨柳站商圈附近约232米出发去中心医院，帮我看看路况和车上挤不挤。,"您好！从杨柳站商圈附近约232米前往中心医院，距离上车点杨柳站约232米，走过去很近。

目前112路的车厢拥挤度在 85% 左右，道路拥堵指数 54%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00022,2024-04-07 21:35:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,4f2375ed5c0e099e70dd1442883dc302,杨树新村菜市场,浪琴屿,杨树新村菜市场北侧路口约321米,321,156,73,晴,34.3,13.8,6,8,1,人武部换乘口,换乘热点,0.56,通勤出行,0.92,0.475,0.694,0.599,强提醒,避让/错峰,外面天气感觉一般，我从杨树新村菜市场北侧路口约321米出发去浪琴屿，帮我看看路况和车上挤不挤。,"您好！从杨树新村菜市场北侧路口约321米前往浪琴屿，目前正值高峰时段，周边道路和客流压力较大。

目前204路的车厢拥挤度在 92% 左右，道路拥堵指数 48%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00023,2024-04-07 11:59:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,奥体中心,中天广场商圈附近约682米,682,44,27,晴,17.2,10.0,19,22,1,宏声桥商圈,商圈客流,0.8,景区避堵,0.806,0.727,0.688,0.147,普通,常态候车,请帮我判断下，现在从中天广场商圈附近约682米去奥体中心，推荐按原计划等车还是换个方案？,"您好！从中天广场商圈附近约682米前往奥体中心，目前正值高峰时段，周边道路和客流压力较大。

目前105路的车厢拥挤度在 81% 左右，道路拥堵指数 73%。另外，受宏声桥商圈商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00024,2024-04-07 11:59:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,396c1979928ef81d9d2ccfbd2864a0b3,大塘路口,泽胜温泉城（西门）,大塘路口对面天桥下约222米,222,66,34,小雨,18.0,9.9,17,17,1,白鹤梁,文化景区,0.374,晚高峰回家,0.898,0.769,0.746,0.722,强提醒,避让/错峰,结合现在的天气和附近客流，从大塘路口对面天桥下约222米去泽胜温泉城（西门）怎么走最稳妥？,"您好！从大塘路口对面天桥下约222米前往泽胜温泉城（西门），目前正值高峰时段，周边道路和客流压力较大。

目前112路的车厢拥挤度在 90% 左右，道路拥堵指数 77%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00025,2024-04-07 21:02:00,d288657336e08c8f69db3df62d8f24c1,107B路,8cdb08e54ac324ab4a3aab6111b88270,泽胜温泉城（西门）,大修厂,泽胜温泉城（西门）东侧约579米,579,18,11,多云,34.0,23.8,6,9,0,图书馆文化区,文教热点,0.27,雨天出行,0.511,0.947,0.698,0.276,强提醒,避让/错峰,结合现在的天气和附近客流，从泽胜温泉城（西门）东侧约579米去大修厂怎么走最稳妥？,"您好！从泽胜温泉城（西门）东侧约579米前往大修厂，距离上车点泽胜温泉城（西门）约579米，走过去很近。

目前107B路的车厢拥挤度在 51% 左右，道路拥堵指数 95%。受路况影响，预计当前发车间隔较长（约 23.8 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00026,2024-04-07 10:31:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,f7aeb848e101cfa4978d9503f33fd943,图书馆,实验中学,图书馆公交港湾约67米,67,42,11,小雨,14.0,9.0,22,22,1,白鹤梁,文化景区,0.819,雨天出行,0.986,0.826,0.801,0.916,强提醒,避让/错峰,外面天气感觉一般，我从图书馆公交港湾约67米出发去实验中学，帮我看看路况和车上挤不挤。,"您好！从图书馆公交港湾约67米前往实验中学，目前正值高峰时段，周边道路和客流压力较大。

目前105路的车厢拥挤度在 99% 左右，道路拥堵指数 83%。另外，受白鹤梁文化景区影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00027,2024-04-07 22:07:00,d288657336e08c8f69db3df62d8f24c1,107B路,16f2fe2ff2b9cfc296f58e44ff01bb00,金帝服装厂,十八中,金帝服装厂东侧约192米,192,43,32,多云,8.3,8.3,7,9,1,白鹤梁,文化景区,0.341,晚高峰回家,0.69,0.769,0.631,0.76,普通,常态候车,结合现在的天气和附近客流，从金帝服装厂东侧约192米去十八中怎么走最稳妥？,"您好！从金帝服装厂东侧约192米前往十八中，目前正值高峰时段，周边道路和客流压力较大。

目前107B路的车厢拥挤度在 69% 左右，道路拥堵指数 77%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00028,2024-04-07 09:30:00,21c4fd80af0c3078a9bd828c0a66a048,202路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,客运中心,行政服务中心东侧约796米,796,50,16,多云,32.7,8.4,19,19,1,图书馆文化区,文教热点,0.931,景区避堵,0.806,0.744,0.682,0.1,普通,常态候车,结合现在的天气和附近客流，从行政服务中心东侧约796米去客运中心怎么走最稳妥？,"您好！从行政服务中心东侧约796米前往客运中心，目前正值高峰时段，周边道路和客流压力较大。

目前202路的车厢拥挤度在 81% 左右，道路拥堵指数 74%。另外，受图书馆文化区文教热点影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00029,2024-04-07 11:28:00,21c4fd80af0c3078a9bd828c0a66a048,202路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,人武部,行政服务中心东侧约251米,251,254,152,大雨,19.2,23.4,17,19,1,宏声桥商圈,商圈客流,0.69,景区避堵,0.99,0.99,0.948,0.686,强提醒,避让/错峰,我现在在行政服务中心东侧约251米，要去人武部，走过去坐202路合适吗？,"您好！从行政服务中心东侧约251米前往人武部，目前正值高峰时段，周边道路和客流压力较大。

目前202路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 23.4 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00030,2024-04-07 11:44:00,c2b333726a91ce0fb6190c8e428177d5,101路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,泽胜温泉城（西门）,桥南第一村公交港湾约345米,345,160,71,暴雨,17.5,19.5,17,19,0,图书馆文化区,文教热点,0.378,雨天出行,0.99,0.99,0.922,0.569,强提醒,避让/错峰,我刚到桥南第一村公交港湾约345米附近，准备回泽胜温泉城（西门），坐101路的话要等很久吗？,"您好！从桥南第一村公交港湾约345米前往泽胜温泉城（西门），距离上车点桥南第一村约345米，走过去很近。

目前101路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 19.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00031,2024-04-07 10:06:00,2784f60394214283364aa4321717a939,104路,566b03152a15562132d0e21811e08915,中天广场,电信局,中天广场东侧约366米,366,5,3,多云,7.2,39.7,9,14,0,高笋塘步行区,商圈客流,0.85,景区避堵,0.586,0.99,0.79,0.542,强提醒,避让/错峰,我刚到中天广场东侧约366米附近，准备回电信局，坐104路的话要等很久吗？,"您好！从中天广场东侧约366米前往电信局，距离上车点中天广场约366米，走过去很近。

目前104路的车厢拥挤度在 59% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 39.7 分钟）。另外，受高笋塘步行区商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00032,2024-04-07 16:18:00,2784f60394214283364aa4321717a939,104路,838ce30c2b489ac6d46efc8373f8e11f,南门山（重百）,奥体中心,南门山（重百）东侧约245米,245,250,122,雷阵雨,23.5,23.2,12,14,0,高笋塘步行区,商圈客流,0.427,晚高峰回家,0.857,0.963,0.872,0.694,强提醒,避让/错峰,请帮我判断下，现在从南门山（重百）东侧约245米去奥体中心，推荐按原计划等车还是换个方案？,"您好！从南门山（重百）东侧约245米前往奥体中心，距离上车点南门山（重百）约245米，走过去很近。

目前104路的车厢拥挤度在 86% 左右，道路拥堵指数 96%。受路况影响，预计当前发车间隔较长（约 23.2 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00033,2024-04-07 21:07:00,14cb7122f64146b02a21c2c791af904d,102路,d9cdef6aab1d2755e902a75df225c7d7,江东师院,协信花园,江东师院对面天桥下约486米,486,15,7,多云,16.9,40.5,15,20,0,行政服务中心,政务集散,0.281,景区避堵,0.41,0.99,0.702,0.392,强提醒,避让/错峰,我现在在江东师院对面天桥下约486米，要去协信花园，走过去坐102路合适吗？,"您好！从江东师院对面天桥下约486米前往协信花园，距离上车点江东师院约486米，走过去很近。

目前102路的车厢拥挤度在 41% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 40.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00034,2024-04-07 23:35:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,万达停车场,高山湾枢纽站对面天桥下约195米,195,346,129,暴雨,27.1,26.8,13,14,0,图书馆文化区,文教热点,0.416,换乘规划,0.99,0.99,0.971,0.756,强提醒,避让/错峰,我现在在高山湾枢纽站对面天桥下约195米，要去万达停车场，走过去坐111路合适吗？,"您好！从高山湾枢纽站对面天桥下约195米前往万达停车场，距离上车点高山湾枢纽站约195米，走过去很近。

目前111路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 26.8 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00035,2024-04-07 06:46:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,908495d0e3b05ab3a38965a3e96387aa,黎明路口,水务局,黎明路口公交港湾约237米,237,29,15,小雨,31.1,11.7,13,17,1,江东滨江带,滨江休闲,0.474,换乘规划,0.769,0.731,0.682,0.704,普通,常态候车,我现在在黎明路口公交港湾约237米，要去水务局，走过去坐112路合适吗？,"您好！从黎明路口公交港湾约237米前往水务局，目前正值高峰时段，周边道路和客流压力较大。

目前112路的车厢拥挤度在 77% 左右，道路拥堵指数 73%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
