sample_id,source_row_id,time,line_id,line_name,station_id,station_name,inflow_30m,outflow_30m,crowding,congestion,weather,temperature,online_vehicle,total_vehicle,headway,is_peak,pressure_score,dispatch_action,priority,confidence,reason,status
S0033,-1,2024-04-07 11:32:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,c32bcb4645490e5d7200359302437cd3,实验中学,336,147,1.0,0.848,大雨,12.7,12,14,27.4,1,9.017851720747295,user_diversion,low,0.5,模型未给出明确说明,ok
S0034,-1,2024-04-07 23:32:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,c32bcb4645490e5d7200359302437cd3,实验中学,358,197,0.944,0.904,大雪,16.5,18,22,26.7,1,9.017368731563423,user_diversion,low,0.5,模型未给出明确说明,ok
S0035,-1,2024-04-07 08:29:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,5b6e6f9a700bcd8f390708f9c39b2552,奥体中心,374,274,1.0,0.81,大雪,13.5,13,14,27.2,1,9.01387807276303,user_diversion,low,0.5,模型未给出明确说明,ok
S0036,-1,2024-04-07 10:56:00,2784f60394214283364aa4321717a939,104路,fab859ef347c3152b7c1b1c576d51220,人武部,337,197,0.904,0.958,大雨,5.8,12,14,28.1,1,9.008819665683383,user_diversion,low,0.5,模型未给出明确说明,ok
S0037,-1,2024-04-07 17:49:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,292,109,1.0,0.923,大雨,16.8,20,22,23.5,1,8.998839921337266,user_diversion,low,0.5,模型未给出明确说明,ok
S0038,-1,2024-04-07 08:25:00,0579abf0fa4403b90a190dbaea38636c,127路,e65b76b55f4e5eaa894486edf90a6878,森林公园,297,101,0.94,0.966,雷阵雨,27.1,16,19,26.1,1,8.994279646017699,user_diversion,low,0.5,模型未给出明确说明,ok
S0039,-1,2024-04-07 06:31:00,0579abf0fa4403b90a190dbaea38636c,127路,5b6e6f9a700bcd8f390708f9c39b2552,奥体中心,342,203,0.939,0.907,大雨,6.2,18,19,27.4,1,8.99012605703048,user_diversion,low,0.5,模型未给出明确说明,ok
S0040,-1,2024-04-07 21:11:00,d288657336e08c8f69db3df62d8f24c1,107B路,77e5c0b74c44c9c243d16961e8a5cbda,大修厂,210,157,0.992,0.95,暴雨,28.2,7,9,29.5,1,8.98775732546706,user_diversion,low,0.5,模型未给出明确说明,ok
S0041,-1,2024-04-07 19:30:00,21c4fd80af0c3078a9bd828c0a66a048,202路,566b03152a15562132d0e21811e08915,中天广场,275,93,0.936,0.95,雷阵雨,20.1,17,19,29.9,1,8.983651524090462,user_diversion,low,0.5,模型未给出明确说明,ok
S0042,-1,2024-04-07 13:16:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,203551cf89d7fa9fd6b1028e4e037aa8,南门山（八角井）,244,127,0.982,0.948,暴雨,19.1,13,14,27.3,1,8.981689675516224,user_diversion,low,0.5,模型未给出明确说明,ok
S0043,-1,2024-04-07 06:59:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,1728188a4355d1263bb2fb3b086c3429,三中院,321,102,0.969,0.874,雷阵雨,14.7,6,8,28.5,1,8.979510324483774,add_trip,low,0.5,模型未给出明确说明,ok
S0044,-1,2024-04-07 08:58:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,566b03152a15562132d0e21811e08915,中天广场,201,62,0.978,0.972,大雨,8.0,19,22,29.5,1,8.977045821042282,add_trip,low,0.5,模型未给出明确说明,ok
S0045,-1,2024-04-07 17:08:00,c2b333726a91ce0fb6190c8e428177d5,101路,cf1b2effc271a229633de5945d3c54b4,城六校（乌江校区）,258,196,0.949,0.959,大雪,12.1,18,19,28.7,1,8.975574237954769,user_diversion,low,0.5,模型未给出明确说明,ok
S0046,-1,2024-04-07 18:38:00,d288657336e08c8f69db3df62d8f24c1,107B路,16f2fe2ff2b9cfc296f58e44ff01bb00,金帝服装厂,310,138,0.95,0.906,雷阵雨,17.4,7,9,28.6,1,8.974596263520157,add_trip,low,0.5,模型未给出明确说明,ok
S0047,-1,2024-04-07 13:25:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,f7aeb848e101cfa4978d9503f33fd943,图书馆,228,91,1.0,0.96,大雪,13.9,19,22,25.0,1,8.971980334316617,user_diversion,low,0.5,模型未给出明确说明,ok
S0048,-1,2024-04-07 10:18:00,c2b333726a91ce0fb6190c8e428177d5,101路,77e5c0b74c44c9c243d16961e8a5cbda,大修厂,273,111,0.974,0.962,暴雨,24.8,17,19,23.5,1,8.969804523107179,user_diversion,low,0.5,模型未给出明确说明,ok
S0049,-1,2024-04-07 18:08:00,2784f60394214283364aa4321717a939,104路,34a208df009da83091ee5c7786f9a127,十八中,259,68,0.969,0.975,大雨,25.5,12,14,24.1,1,8.966764405113079,add_trip,low,0.5,模型未给出明确说明,ok
S0050,-1,2024-04-07 08:33:00,2784f60394214283364aa4321717a939,104路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,298,97,1.0,0.849,暴雨,7.3,13,14,28.6,1,8.962647590953786,user_diversion,low,0.5,模型未给出明确说明,ok
S0051,-1,2024-04-07 12:55:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,345,123,1.0,0.836,暴雨,31.5,7,8,25.2,1,8.962474336283186,user_diversion,low,0.5,模型未给出明确说明,ok
S0052,-1,2024-04-07 13:38:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,cdefbce7d3b2383a7ae3fc110df92241,桥南新苑,293,153,0.945,0.955,大雪,30.1,13,14,25.5,1,8.961896755162241,user_diversion,low,0.5,模型未给出明确说明,ok
S0053,-1,2024-04-07 13:03:00,c2b333726a91ce0fb6190c8e428177d5,101路,94be7727456cfe592dcc3919ba3ab93e,十八中,198,122,0.984,0.968,暴雨,16.2,16,19,28.6,1,8.958408652900689,user_diversion,low,0.5,模型未给出明确说明,ok
S0054,-1,2024-04-07 06:12:00,d288657336e08c8f69db3df62d8f24c1,107B路,e59bc529c71f917f694d120f2061d05b,中心医院,325,252,0.949,0.93,雷阵雨,8.6,8,9,24.0,1,8.955559882005899,user_diversion,low,0.5,模型未给出明确说明,ok
S0055,-1,2024-04-07 22:46:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,0747da93e8e62e0df6b0fe4a6e92f78e,图书馆,299,160,1.0,0.877,大雪,29.0,15,17,25.4,1,8.955348869223204,user_diversion,low,0.5,模型未给出明确说明,ok
S0056,-1,2024-04-07 22:28:00,0579abf0fa4403b90a190dbaea38636c,127路,fab859ef347c3152b7c1b1c576d51220,人武部,237,120,0.995,0.906,雷阵雨,30.8,17,19,29.3,1,8.954647394296952,user_diversion,low,0.5,模型未给出明确说明,ok
S0057,-1,2024-04-07 11:22:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,32a6fa0bebd45f310a059e32092bf0c5,火炬广场,280,82,1.0,0.887,暴雨,15.8,13,14,26.2,1,8.953091248770896,user_diversion,low,0.5,模型未给出明确说明,ok
S0058,-1,2024-04-07 07:02:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,fe24e7558457ffb3668f9b88e6746382,奥体中心,220,57,1.0,0.943,暴雨,19.3,14,17,26.6,1,8.952436774827925,user_diversion,low,0.5,模型未给出明确说明,ok
S0059,-1,2024-04-07 18:12:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,269,213,1.0,0.958,大雪,33.0,13,14,20.2,1,8.951621632251722,user_diversion,low,0.5,模型未给出明确说明,ok
S0060,-1,2024-04-07 16:54:00,14cb7122f64146b02a21c2c791af904d,102路,d9cdef6aab1d2755e902a75df225c7d7,江东师院,249,183,0.999,0.907,暴雨,11.9,18,20,27.3,1,8.95015162241888,user_diversion,low,0.5,模型未给出明确说明,ok
S0061,-1,2024-04-07 19:03:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,fab859ef347c3152b7c1b1c576d51220,人武部,262,57,1.0,0.94,大雪,10.2,13,14,22.6,1,8.949868239921338,user_diversion,low,0.5,模型未给出明确说明,ok
S0062,-1,2024-04-07 08:38:00,21c4fd80af0c3078a9bd828c0a66a048,202路,fe24e7558457ffb3668f9b88e6746382,奥体中心,270,165,1.0,0.9,大雨,30.7,16,19,25.6,1,8.946234021632252,user_diversion,low,0.5,模型未给出明确说明,ok
S0063,-1,2024-04-07 07:37:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,adfb72413cbc8ff7904e8b98e0aaa70c,沙溪温泉,261,128,0.98,0.965,大雪,24.1,12,14,22.5,1,8.944433628318585,user_diversion,low,0.5,模型未给出明确说明,ok
S0064,-1,2024-04-07 07:21:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,cdefbce7d3b2383a7ae3fc110df92241,桥南新苑,357,127,1.0,0.807,大雪,26.7,19,22,26.0,1,8.943000786627335,user_diversion,low,0.5,模型未给出明确说明,ok
S0065,-1,2024-04-07 14:54:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,266,98,0.995,0.965,大雪,23.0,12,14,19.7,1,8.935273352999015,user_diversion,low,0.5,模型未给出明确说明,ok
S0066,-1,2024-04-07 14:58:00,0579abf0fa4403b90a190dbaea38636c,127路,e59bc529c71f917f694d120f2061d05b,中心医院,314,169,0.937,0.944,雷阵雨,9.2,17,19,23.9,1,8.926201376597836,user_diversion,low,0.5,模型未给出明确说明,ok
S0067,-1,2024-04-07 11:53:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,e65b76b55f4e5eaa894486edf90a6878,森林公园,272,93,0.931,0.973,暴雨,21.6,12,14,25.9,1,8.92472546705998,user_diversion,low,0.5,模型未给出明确说明,ok
S0068,-1,2024-04-07 06:35:00,d288657336e08c8f69db3df62d8f24c1,107B路,16f2fe2ff2b9cfc296f58e44ff01bb00,金帝服装厂,260,81,0.993,0.939,大雨,33.5,8,9,22.6,1,8.923643461160275,user_diversion,low,0.5,模型未给出明确说明,ok
S0069,-1,2024-04-07 16:03:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,6804f20d9758b3a91029d424dfa1daeb,高笋塘,194,99,1.0,0.952,暴雨,27.6,18,22,27.0,1,8.92360353982301,user_diversion,low,0.5,模型未给出明确说明,ok
S0070,-1,2024-04-07 17:34:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,fab859ef347c3152b7c1b1c576d51220,人武部,234,149,0.965,0.97,大雪,7.9,12,14,25.5,1,8.920365781710915,user_diversion,low,0.5,模型未给出明确说明,ok
S0071,-1,2024-04-07 08:46:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,273,178,1.0,0.902,暴雨,19.0,6,8,23.9,1,8.919493411996067,user_diversion,low,0.5,模型未给出明确说明,ok
S0072,-1,2024-04-07 10:50:00,21c4fd80af0c3078a9bd828c0a66a048,202路,2f1ed7e40d9eff8afa3e6c4744047399,客运中心,315,124,1.0,0.812,雷阵雨,9.8,17,19,28.6,1,8.918858210422812,user_diversion,low,0.5,模型未给出明确说明,ok
S0073,-1,2024-04-07 08:09:00,21c4fd80af0c3078a9bd828c0a66a048,202路,e59bc529c71f917f694d120f2061d05b,中心医院,318,225,1.0,0.814,雷阵雨,11.9,18,19,28.0,1,8.916562045231071,user_diversion,low,0.5,模型未给出明确说明,ok
S0074,-1,2024-04-07 06:13:00,14cb7122f64146b02a21c2c791af904d,102路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,187,94,1.0,0.978,大雨,12.6,18,20,24.5,1,8.909761258603737,user_diversion,low,0.5,模型未给出明确说明,ok
S0075,-1,2024-04-07 21:25:00,21c4fd80af0c3078a9bd828c0a66a048,202路,e59bc529c71f917f694d120f2061d05b,中心医院,279,76,0.907,0.969,大雪,20.8,16,19,27.9,1,8.908656637168141,user_diversion,low,0.5,模型未给出明确说明,ok
S0076,-1,2024-04-07 23:21:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,f7aeb848e101cfa4978d9503f33fd943,图书馆,273,170,0.983,0.935,暴雨,6.6,12,14,22.2,1,8.90671563421829,user_diversion,low,0.5,模型未给出明确说明,ok
S0077,-1,2024-04-07 08:06:00,2784f60394214283364aa4321717a939,104路,32a6fa0bebd45f310a059e32092bf0c5,火炬广场,302,206,0.996,0.893,雷阵雨,11.6,11,14,21.7,1,8.903763815142577,user_diversion,low,0.5,模型未给出明确说明,ok
S0078,-1,2024-04-07 19:38:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,83da1c91a60b0425615225a81a7a2266,水务局,262,165,0.936,0.979,雷阵雨,21.6,13,14,24.4,1,8.896468239921337,user_diversion,low,0.5,模型未给出明确说明,ok
S0079,-1,2024-04-07 06:09:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,317,105,0.948,0.903,暴雨,29.6,14,17,24.9,1,8.895660766961651,user_diversion,low,0.5,模型未给出明确说明,ok
S0080,-1,2024-04-07 13:46:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,216,168,1.0,0.976,暴雨,18.8,20,22,21.1,1,8.89396499508358,user_diversion,low,0.5,模型未给出明确说明,ok
S0081,-1,2024-04-07 09:51:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,383,157,0.946,0.806,大雪,33.1,13,14,27.8,1,8.887122910521141,user_diversion,low,0.5,模型未给出明确说明,ok
S0082,-1,2024-04-07 18:41:00,0579abf0fa4403b90a190dbaea38636c,127路,566b03152a15562132d0e21811e08915,中天广场,341,266,1.0,0.838,大雪,25.6,16,19,22.0,1,8.886913667649951,user_diversion,low,0.5,模型未给出明确说明,ok
S0083,-1,2024-04-07 08:28:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,c32bcb4645490e5d7200359302437cd3,实验中学,295,68,1.0,0.902,大雪,13.9,20,22,20.2,1,8.885943756145526,user_diversion,low,0.5,模型未给出明确说明,ok
S0084,-1,2024-04-07 14:18:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,9ffe2c86a9bbba8a37e36284ac7d7b96,易家坝,302,227,0.924,0.923,大雨,6.2,14,17,27.0,1,8.885941592920355,user_diversion,low,0.5,模型未给出明确说明,ok
S0085,-1,2024-04-07 06:27:00,d288657336e08c8f69db3df62d8f24c1,107B路,566b03152a15562132d0e21811e08915,中天广场,238,98,1.0,0.942,大雨,24.3,8,9,21.8,1,8.883393117010815,user_diversion,low,0.5,模型未给出明确说明,ok
S0086,-1,2024-04-07 06:22:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,4c854e70cb36c0d8f4553849ab0c7741,中天广场,249,84,0.977,0.954,大雪,20.1,7,8,22.4,1,8.88306273352999,user_diversion,low,0.5,模型未给出明确说明,ok
S0087,-1,2024-04-07 18:02:00,0579abf0fa4403b90a190dbaea38636c,127路,1728188a4355d1263bb2fb3b086c3429,三中院,267,64,0.938,0.926,大雪,16.4,16,19,28.0,1,8.876530186823992,user_diversion,low,0.5,模型未给出明确说明,ok
S0088,-1,2024-04-07 21:12:00,31f975ac1fa38166b5ca3eb552503516,206路,97829a59879c4da2fd4d3497526a7c7a,人武部,218,68,0.931,0.979,雷阵雨,8.8,13,14,28.5,1,8.876234218289085,user_diversion,low,0.5,模型未给出明确说明,ok
S0089,-1,2024-04-07 16:04:00,21c4fd80af0c3078a9bd828c0a66a048,202路,cdefbce7d3b2383a7ae3fc110df92241,桥南新苑,243,75,0.975,0.913,大雪,19.1,18,19,26.8,1,8.871766175024584,user_diversion,low,0.5,模型未给出明确说明,ok
S0090,-1,2024-04-07 14:39:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,e59bc529c71f917f694d120f2061d05b,中心医院,257,110,0.955,0.91,大雪,24.1,14,17,28.2,1,8.871250737463127,user_diversion,low,0.5,模型未给出明确说明,ok
S0091,-1,2024-04-07 09:29:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,43e4740e92183dc8b3c4ab5966883327,高山湾枢纽站,223,110,1.0,0.891,大雪,30.3,14,17,27.7,1,8.869118387413963,user_diversion,low,0.5,模型未给出明确说明,ok
S0092,-1,2024-04-07 19:41:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,c168834e7938208f9b8b7137ba4db325,泽胜温泉城,245,111,0.943,0.966,大雪,5.6,7,8,25.1,1,8.865413176007866,user_diversion,low,0.5,模型未给出明确说明,ok
S0093,-1,2024-04-07 16:05:00,d288657336e08c8f69db3df62d8f24c1,107B路,21005f637bb21f043583d75ba127a3c2,兴华花园,168,93,0.988,0.98,雷阵雨,15.2,8,9,25.7,1,8.865192527040314,user_diversion,low,0.5,模型未给出明确说明,ok
S0094,-1,2024-04-07 09:50:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,3de2c7760a21d9abc8abdcacaf08f885,行政服务中心,198,65,1.0,0.98,大雪,13.1,6,8,21.1,1,8.862941986234022,user_diversion,low,0.5,模型未给出明确说明,ok
S0095,-1,2024-04-07 09:56:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,f7aeb848e101cfa4978d9503f33fd943,图书馆,221,111,1.0,0.923,大雨,8.5,12,14,24.4,1,8.861760275319567,user_diversion,low,0.5,模型未给出明确说明,ok
S0096,-1,2024-04-07 22:59:00,31f975ac1fa38166b5ca3eb552503516,206路,fab859ef347c3152b7c1b1c576d51220,人武部,156,78,1.0,0.979,大雨,31.6,13,14,25.3,1,8.861154965585055,user_diversion,low,0.5,模型未给出明确说明,ok
S0097,-1,2024-04-07 08:32:00,2784f60394214283364aa4321717a939,104路,fe24e7558457ffb3668f9b88e6746382,奥体中心,351,187,0.939,0.866,大雨,8.9,13,14,24.7,1,8.859837561455262,user_diversion,low,0.5,模型未给出明确说明,ok
S0098,-1,2024-04-07 10:34:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,6804f20d9758b3a91029d424dfa1daeb,高笋塘,255,116,1.0,0.921,大雨,11.4,19,22,21.1,1,8.859248180924288,user_diversion,low,0.5,模型未给出明确说明,ok
S0099,-1,2024-04-07 17:57:00,21c4fd80af0c3078a9bd828c0a66a048,202路,566b03152a15562132d0e21811e08915,中天广场,254,126,0.961,0.904,大雨,27.8,16,19,27.7,1,8.857102458210424,user_diversion,low,0.5,模型未给出明确说明,ok
S0100,-1,2024-04-07 17:14:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,908495d0e3b05ab3a38965a3e96387aa,黎明路口,259,172,0.924,0.951,大雨,13.9,15,17,27.2,1,8.856853294001967,user_diversion,low,0.5,模型未给出明确说明,ok
